id,cohort_id,player_id,player_type,session_id,event_type,timestamp,stage_id,stage_score
a5fad3af09b845ca9459fef7822dde04,e0475322cb1041a1a0ee70198ef34a79,a14c9635045947eab5960e058d5b7cd6,churner,56fc9d70ba0749929564969c65763c6a,BEGIN_SESSION,2024-08-15 16:47:30.741987,,
a4322b2a59ea478697aded308cceb424,e0475322cb1041a1a0ee70198ef34a79,a14c9635045947eab5960e058d5b7cd6,churner,56fc9d70ba0749929564969c65763c6a,BEGIN_STAGE,2024-08-15 16:49:44.413119,cec991f3-a541-4a73-81b9-358e4de5a0cd,
f779adf00b6747e3b3fae776b916d41c,e0475322cb1041a1a0ee70198ef34a79,a14c9635045947eab5960e058d5b7cd6,churner,56fc9d70ba0749929564969c65763c6a,END_STAGE,2024-08-15 16:50:46.234515,cec991f3-a541-4a73-81b9-358e4de5a0cd,1044.0
045ee2fabfb8442cbb8b58ffff8e31b5,e0475322cb1041a1a0ee70198ef34a79,a14c9635045947eab5960e058d5b7cd6,churner,56fc9d70ba0749929564969c65763c6a,BEGIN_STAGE,2024-08-15 16:53:05.548225,a35a2803-94ca-4625-bf1e-11aedbd7e1ac,
9b69cd390e74412fa78b3240db185ba3,e0475322cb1041a1a0ee70198ef34a79,a14c9635045947eab5960e058d5b7cd6,churner,56fc9d70ba0749929564969c65763c6a,END_STAGE,2024-08-15 16:53:58.515269,a35a2803-94ca-4625-bf1e-11aedbd7e1ac,1034.0
b92aeb4196184f31a950c6983b2a4985,e0475322cb1041a1a0ee70198ef34a79,a14c9635045947eab5960e058d5b7cd6,churner,56fc9d70ba0749929564969c65763c6a,BEGIN_STAGE,2024-08-15 16:56:24.902797,967cd0b5-b7b5-4fb6-9be0-1e12b2406eb0,
819e8f845f6c423e9520f3f99c08ff02,e0475322cb1041a1a0ee70198ef34a79,a14c9635045947eab5960e058d5b7cd6,churner,56fc9d70ba0749929564969c65763c6a,END_STAGE,2024-08-15 16:57:25.741500,967cd0b5-b7b5-4fb6-9be0-1e12b2406eb0,981.0
100241985ace4cccb35c35df79bbe9f3,e0475322cb1041a1a0ee70198ef34a79,a14c9635045947eab5960e058d5b7cd6,churner,56fc9d70ba0749929564969c65763c6a,BEGIN_STAGE,2024-08-15 16:59:36.926418,e6a837df-78e0-48cb-97c3-ed4e97c8b65b,
7f0f758d1eaf4412a7af762810284902,e0475322cb1041a1a0ee70198ef34a79,a14c9635045947eab5960e058d5b7cd6,churner,56fc9d70ba0749929564969c65763c6a,END_STAGE,2024-08-15 17:00:37.556799,e6a837df-78e0-48cb-97c3-ed4e97c8b65b,988.0
b6efba5b2586477c9156e085dc47f134,e0475322cb1041a1a0ee70198ef34a79,a14c9635045947eab5960e058d5b7cd6,churner,56fc9d70ba0749929564969c65763c6a,BEGIN_STAGE,2024-08-15 17:02:25.963215,98f2edf5-2b8a-4cca-b009-247092827182,
